address,balance_raw
0:66dd0361033c488c2e730ea8eff21d7d14d052f5689b2ecb4d89d1bf75af2e8a,82429304221265380608
0:26a6c2a8d2a871a327bf4abd03d6a9f69fa7fb767afbd629d63ef6bb21114db4,19500000000000000000
0:676feea31366a748e387a1975b3ff5caf14e8cbf6012c60d44265fb8fceb6207,10889997000000000000
0:80c64645a8f1da3715b7c21ceaec1514da93452134f164cab46a54ca58a1128d,8237066187475186222
0:713acf703cf4ea04710322a78741a56b2c6ab82773dec658af3427ab7ccb3178,4950000000000000000
0:eb0243de71cca96024a7bf6107e78e3b33ca11f59146806934e9883d91b96aef,3960000000000000000
0:b60d8100046ce15215e9bf25cd6bf3a49e17df9a6cf16b74f427900a65be9f62,13999886880900062
0:a227fc987615573860e28cf6b4ef97455fdc26eb03305aac3559edc6dbfe765a,13000000000000000
0:8555da78afa1a87dfb6447e0613ae9586f828e684cdd5d1019953a0250d72d69,1509089367280326
0:41e5126e39800cf265a080e60952b2f8839ef065fcf01e8fa96a3a396ce0af1f,1087872022116045
0:179931e6339b8ef876905b90a75db12cdbd7efeabb1a24a7eb4da9e7ed460885,633407732950705
0:a45a430283b6b0dca2168066b246195a05000ac1641aa6b18f58bdbd41e41bef,474500000000000
0:5ebaa359dc7aaf356d41a22ff46f4679836fd9952a326613e086bd7924acb93f,474500000000000
0:1ce6232dcc2292ef6bc0465e61ab7cd1a2e252d767f787cb2c2b09ca7570c577,400639101787841
0:28b81b9dcb759338e1bd69cf62a262aa6c323d5458c2e4834ea0a50264e9520a,334534593694032
0:e9f89890de7e180aeb6b3031dc777467dad8b551127262686670427f4cab1262,250000000000000
0:c48f414ff62f22085fb152699508c1041edaacafb87a0c13ac7a2e72e1b8aabf,213134486048848
0:f9bae742601e9d914aad1743865a7e6a19d1ce78ad4aed7dc093e4c52c059bb7,121142737064080
0:242e7d36a55d87c0348166ba50f695ba40d8b0a6c4c11dc8ffa47d588cecd048,94771091974498
0:86dd35c62701f695e02d6a5ca7095c1b4f124c33ea27b33418a5a8fe4795011f,91229816602312
0:2bacd24dec2a62dbd39fb3dea6d0fec84672b75fa1c83cd31b462a2834721f50,70322521512393
0:1675b3dbceb4d6761670b6f781f15ddd011ccbe7cc6ff740087d33133d19dd73,63222716940615
0:5ba0b7e516ce97125bf870843dd0483de80e03850259d47850609e0562b897df,60715757263024
0:e5c74800c1a13fbdeed51abb03516786e8e0e48bdee5648fc8f5ed00780b1863,59028404823415
0:aa9b433af4d7036b97f00d6bad56f5676da7fc1c5278317ca5a5459ab1691c48,53415104582421
0:8d217d8421105b23ef2b3171b166eb4e6d078dac6f8535fe2a0af606d50e063a,36021804991779
0:0159e9f76e36cba5310ca5db16f591831029676fe655a8a4e727da5d9ed1823e,28742645733367
0:2e578f88b7edf3a37b3988ed38f515648780f0c477067c58e37852e4858cd6a7,24877521048425
0:25e57954794703e88a768703614644d24c409e744f1a5d86990940ff0fa796ba,24178926448823
0:dd7fe4e7d511e9af4744e7221e60c0a81582215cb031a34c3cf35746740587b3,23388929610883
0:ae68e0503bd24e42526b5f60851dd0cd68e5f41f4cefa128de79ee7573220135,20550251470187
0:2a4abf31955ef98a721aac5ffbe97d58bb8bc511a823bda60bc7fae9b41d5bf4,18449342830347
0:f7404e6ea52e2a442817dd1fcdc7eff7828cd7e477ba9c2bb76181167ec8e2a5,16162524376289
0:f87698f37d7ccdd08748094c0281f4932adab48c3467cb45d1b716b436af85b9,9660373226833
0:4d215e0adc94848f0e4228efa1d427c9b533e02d77adacd38817f7b01f62668c,3000000000000
0:ab87df4b2ee498a3d323d3c622e658f60db8fed250ae573b76eb91cf3af4b2d7,3000000000000
0:1157b736a72ddefb0ac6ee043c8dd9dab05067988d3882428779b69f6e4f880f,3000000000000
0:a6fc134547774a2184771e1bdc5ac13e4a182e4dec701e269eeb8fcaceb6d37b,3000000000000
0:83ec2f151e9b056ccd36e6fd2d91d80cecd5317ed3c47e09d8d5ea8e88c944d6,3000000000000
0:a7b58d1ea2e0920d783940891574396dc985bc8699ea028cef308f07112887d9,3000000000000
0:54704567197486ffe467a7079206076551c77474cadd47f18fb6f84d3c5d225b,3000000000000
0:1bb6ff415ec652e64a9c88fed38f346c5c3a9bfc77462ffd10c3e5ec9ac6fecc,3000000000000
0:82b878c4b1b215b30276bd7170f9bf5c7b2cf6403d9f12d557aa9a6e87f0afd4,3000000000000
0:28b66d6f9197478660a895e35e2896f44ad612e18d9568f7531b4c80a0f2cee3,3000000000000
0:5cf925a2cfef5aee19dad1fd4fa677789620f4880ea74b28afb83d83770afeb8,3000000000000
0:eec653c3121f079bf94169561ab790f736b9ccdf6f387d58883c0b5831daa3f7,3000000000000
0:3d6a48ef91f004f155a455c12f3c499697b7fb06755b8c781c0c2d85b180f5e5,3000000000000
0:f0fad290fc79862f1e7370bcc0683aeef566b8fc1b1a9ebcd8f278c0eed37c0d,3000000000000
0:000de96a218abbd640eba82a5482255c08e3c8495c6c8445fa55a289749f0fcb,3000000000000
0:956a0fd6a068278936ccc4451e2786c1abab85389245010c3046a0a55bb8643f,2800000000000
0:e655456a88dc0a717f0b3e9fffae4b852555b6b25034a59d87e9b663735ca864,1630000000000
0:8c3f08d284019ff378e9a8e42df4a06dbda23122d8d3a611e9d4eef72ae0de02,1500000000000
0:66436ab874b62f8e5e3a41bb54d22f3623dfa58ca50a45985483a0b1b935e007,1500000000000
0:0d005c343fac46e63bd89174f4b09c1dada8e371d11d8119e441c8b8b7aa52cf,1500000000000
0:9ebf6f07e4a0036909d5847a7c31e8199d87d0763105e4810525c3e6e65eb79e,1500000000000
0:5e743fb971a66211555679ec13dc5aece4e6f86ede791bb95bd8c8bf215c07b1,1500000000000
0:b8710b1c2f0314d75a6814f39ce903d6c440d2daa79bf1ffe3df5f17c1504011,1500000000000
0:d1ff5a718e29f13b32271ac5fa7aee6ef54e2453d43b09a99210e29422877bbd,1500000000000
0:3f2de4290fc11fe19a8989b1396b3eaa91ee094f2d7859fd8e6ac7bfbfd3bb26,1500000000000
0:e79e2efacdd04b2ad4bed676ec922da092c65240db3042d651cd10c59ec6e689,1500000000000
0:3e89d48359dc1c24296cc4fbe2b8610db945f7464a7eabf4e0a4d6df9cf974ab,1500000000000
0:c4851bb30a7838e0f69a8afebed37ee13a608285864c5b90d82dba96de1e5e83,1500000000000
